roll no | spi_1  |  spi_2  |  cpi  |
240812  |  7.13  |  7.77  |  7.47  | 
240927  |  6.50  |  7.77  |  7.17  | 
241031  |  6.33  |  7.77  |  7.09  | 
241108  |  7.24  |  7.77  |  7.64  | 
241124  |  8.24  |  7.77  |  7.99  | 
240231  |  6.79  |  7.76  |  7.24  | 
240235  |  7.69  |  7.76  |  7.72  | 
240354  |  8.25  |  7.76  |  8.00  | 
240091  |  7.19  |  7.76  |  7.46  | 
241003  |  5.72  |  7.75  |  6.80  | 
240022  |  7.54  |  7.74  |  7.63  | 
240365  |  7.98  |  7.74  |  7.87  | 
240888  |  8.29  |  7.74  |  8.01  | 
240912  |  6.41  |  7.73  |  7.11  | 
240980  |  8.35  |  7.73  |  8.02  | 
240439  |  6.75  |  7.72  |  7.20  | 
240682  |  7.48  |  7.72  |  7.59  | 
240534  |  7.65  |  7.71  |  7.68  | 
240903  |  7.30  |  7.71  |  7.52  | 
241072  |  6.11  |  7.71  |  6.96  | 
241204  |  6.89  |  7.71  |  7.33  | 
240003  |  6.46  |  7.70  |  7.04  | 
240699  |  6.65  |  7.69  |  7.20  | 
240252  |  8.19  |  7.67  |  7.95  | 
240438  |  7.15  |  7.67  |  7.40  | 
240648  |  6.96  |  7.67  |  7.34  | 
241190  |  7.98  |  7.67  |  7.82  | 
240366  |  5.73  |  7.65  |  6.63  | 
240545  |  6.10  |  7.65  |  6.83  | 
240095  |  6.46  |  7.65  |  7.02  | 
240644  |  8.02  |  7.65  |  7.83  | 
241177  |  7.98  |  7.65  |  7.81  | 
240032  |  8.65  |  7.63  |  8.17  | 
240187  |  7.71  |  7.63  |  7.67  | 
240209  |  7.08  |  7.63  |  7.34  | 
240226  |  6.81  |  7.63  |  7.19  | 
240420  |  7.90  |  7.63  |  7.78  | 
241123  |  7.50  |  7.63  |  7.57  | 
240995  |  7.50  |  7.62  |  7.56  | 
240690  |  7.93  |  7.62  |  7.77  | 
240822  |  6.89  |  7.62  |  7.28  | 
240850  |  6.78  |  7.62  |  7.22  | 
240883  |  7.65  |  7.62  |  7.63  | 
241172  |  7.30  |  7.62  |  7.47  | 
241185  |  6.67  |  7.62  |  7.17  | 
240104  |  7.06  |  7.61  |  7.32  | 
240225  |  6.44  |  7.61  |  6.99  | 
240310  |  7.02  |  7.61  |  7.30  | 
240280  |  8.15  |  7.61  |  7.90  | 
240428  |  7.37  |  7.60  |  7.49  | 
240651  |  8.20  |  7.60  |  7.88  | 
240026  |  6.81  |  7.59  |  7.17  | 
240146  |  8.42  |  7.59  |  8.03  | 
240444  |  7.63  |  7.59  |  7.61  | 
240049  |  7.60  |  7.59  |  7.59  | 
240795  |  7.60  |  7.59  |  7.59  | 
240974  |  7.96  |  7.59  |  7.79  | 
241032  |  7.27  |  7.59  |  7.42  | 
240608  |  7.35  |  7.58  |  7.47  | 
